coluna,feature,tipo,bloco,familia,sub_bloco,recorte,n,shap_medio_abs,participacao
fonte_lag_uf_agregado_r5,fonte_lag_uf,dummy,cat,estrutural,proveniencia_do_lag,gold,43263,0.00048179030702398654,0.0005308393458680413
sigla_uf_PR,sigla_uf,dummy,cat,territorial,territorial,gold,43263,0.0004437236129678125,0.0004888972422650059
caderno_4,caderno,dummy,cat_rara,estrutural,controle_negativo,gold,43263,0.00041469779335422444,0.0004569164263948482
sigla_uf_TO,sigla_uf,dummy,cat,territorial,territorial,gold,43263,0.0003626374500358771,0.0003995560391270295
sigla_uf_AP,sigla_uf,dummy,cat,territorial,territorial,gold,43263,0.0003507134636269013,0.00038641812196016335
caderno_21,caderno,dummy,cat_rara,estrutural,controle_negativo,gold,43263,0.0003413633384899109,0.00037611610002418204
sigla_uf_RN,sigla_uf,dummy,cat,territorial,territorial,gold,43263,0.00028442801959234856,0.00031338443647731533
missingindicator_mun_taxa_alfab_lag1,mun_taxa_alfab_lag1,indicador_de_nulo,num,historico_municipal,historico_municipal,gold,43263,0.00028160035607592153,0.00031026890046608477
sigla_uf_MS,sigla_uf,dummy,cat,territorial,territorial,gold,43263,0.0002803919489458418,0.0003089374705034602
missingindicator_uf_taxa_alfab_lag1,uf_taxa_alfab_lag1,indicador_de_nulo,num,territorial,territorial,gold,43263,0.00024624952130386133,0.0002713191463246936
fonte_lag_municipal_agregado_r3,fonte_lag_municipal,dummy,cat,estrutural,proveniencia_do_lag,gold,43263,0.00020978672747335925,0.0002311442292636467
tem_historico_municipio,tem_historico_municipio,valor,num,estrutural,proveniencia_do_lag,gold,43263,0.00015894627774770676,0.00017512792780937362
sigla_uf_PA,sigla_uf,dummy,cat,territorial,territorial,gold,43263,0.00011774334568894673,0.00012973029904215854
caderno_9,caderno,dummy,cat_rara,estrutural,controle_negativo,gold,43263,0.0001028528026975844,0.0001133238126809433
sigla_uf_AM,sigla_uf,dummy,cat,territorial,territorial,gold,43263,9.788045354884138e-05,0.00010784524964000018
caderno_19,caderno,dummy,cat_rara,estrutural,controle_negativo,gold,43263,6.975308550480149e-05,7.685435290378912e-05
caderno_11,caderno,dummy,cat_rara,estrutural,controle_negativo,gold,43263,5.118408477561328e-05,5.6394920539130324e-05
missingindicator_mun_meta_2024_lag1,mun_meta_2024_lag1,indicador_de_nulo,num,metas,metas,gold,43263,4.854957791875131e-05,5.349220565219125e-05
sigla_uf_SP,sigla_uf,dummy,cat,territorial,territorial,gold,43263,2.308567906470443e-05,2.5435934669015903e-05
fonte_lag_uf_gold,fonte_lag_uf,dummy,cat,estrutural,proveniencia_do_lag,gold,43263,1.7839012404690522e-05,1.965512700812043e-05
missingindicator_mun_media_portugues_lag1,mun_media_portugues_lag1,indicador_de_nulo,num,historico_municipal,historico_municipal,gold,43263,1.0285474341705858e-05,1.1332595097688071e-05
missingindicator_uf_media_portugues_lag1,uf_media_portugues_lag1,indicador_de_nulo,num,territorial,territorial,gold,43263,0.0,0.0
missingindicator_mun_desvio_vs_uf,mun_desvio_vs_uf,indicador_de_nulo,num,historico_municipal,historico_municipal,gold,43263,0.0,0.0
missingindicator_mun_taxa_presenca_lag1,mun_taxa_presenca_lag1,indicador_de_nulo,num,historico_municipal,historico_municipal,gold,43263,0.0,0.0
missingindicator_mun_n_alunos_lag1,mun_n_alunos_lag1,indicador_de_nulo,num,historico_municipal,historico_municipal,gold,43263,0.0,0.0
missingindicator_mun_share_rede_estadual_lag1,mun_share_rede_estadual_lag1,indicador_de_nulo,num,historico_municipal,historico_municipal,gold,43263,0.0,0.0
missingindicator_mun_n_escolas_lag1,mun_n_escolas_lag1,indicador_de_nulo,num,historico_municipal,historico_municipal,gold,43263,0.0,0.0
sigla_uf_CE,sigla_uf,dummy,cat,territorial,territorial,gold,43263,0.0,0.0
sigla_uf_DF,sigla_uf,dummy,cat,territorial,territorial,gold,43263,0.0,0.0
fonte_lag_municipal_gold,fonte_lag_municipal,dummy,cat,estrutural,proveniencia_do_lag,gold,43263,0.0,0.0
rede_grupo_Outros,rede_grupo,dummy,cat,estrutural,estrutural,gold,43263,0.0,0.0
fonte_lag_uf_sem_historico,fonte_lag_uf,dummy,cat,estrutural,proveniencia_do_lag,gold,43263,0.0,0.0
fonte_lag_municipal_sem_historico,fonte_lag_municipal,dummy,cat,estrutural,proveniencia_do_lag,gold,43263,0.0,0.0
sigla_uf_SE,sigla_uf,dummy,cat,territorial,territorial,gold,43263,0.0,0.0
caderno_infrequent_sklearn,caderno,dummy,cat_rara,estrutural,controle_negativo,gold,43263,0.0,0.0
