id_municipio,sigla_uf,nome_regiao,cluster,cluster_nome,n_avaliados,taxa_alfabetizacao_2023,taxa_alfabetizacao_2024,media_portugues_2024,taxa_presenca_2024,log_porte,share_rede_estadual,proporcao_aluno_nivel_0,proporcao_aluno_nivel_1,proporcao_aluno_nivel_2,proporcao_aluno_nivel_3,proporcao_aluno_nivel_4,proporcao_aluno_nivel_5,proporcao_aluno_nivel_6,proporcao_aluno_nivel_7,proporcao_aluno_nivel_8
3549904,SP,Sudeste,1,faixa intermediária,6763,0.574,0.6452159,757.962,0.9263114641829886,3.830139387425343,0.17723599,2.25,4.0,7.59,11.33,14.95,18.45,19.5,15.18,6.75
3550001,SP,Sudeste,1,faixa intermediária,88,0.7340000000000001,0.596616,750.0639,0.946236559139785,1.9444826721501687,0.0,5.47,4.5,7.77,8.14,18.91,23.63,11.78,12.61,7.19
3550100,SP,Sudeste,1,faixa intermediária,414,0.597,0.6052599,750.5802,0.9345372460496614,2.617000341120899,0.0,3.12,5.71,8.51,13.8,13.39,20.65,18.41,10.81,5.62
3550209,SP,Sudeste,1,faixa intermediária,315,0.57,0.73781455,765.623,0.9516616314199395,2.4983105537896004,0.0,2.21,3.76,3.51,8.92,12.6,22.86,18.62,19.6,7.93
3550506,SP,Sudeste,1,faixa intermediária,84,0.6920000000000001,0.71420676,759.908,0.9545454545454546,1.9242792860618816,0.0,1.2,2.38,4.77,9.52,22.62,25.0,14.27,14.29,5.95
3550803,SP,Sudeste,1,faixa intermediária,98,0.648,0.6866459,761.3249,0.9158878504672897,1.9912260756924949,0.0,0.0,0.98,2.01,14.09,17.25,29.3,19.36,16.06,0.93
3550902,SP,Sudeste,1,faixa intermediária,83,0.628,0.6773326,761.53674,0.9764705882352941,1.919078092376074,0.20000002,2.35,4.75,4.71,9.59,13.27,24.13,18.07,17.05,6.08
3551207,SP,Sudeste,1,faixa intermediária,45,0.79,0.799672,776.7529,0.9183673469387755,1.6532125137753437,0.0,0.0,0.0,2.17,6.84,15.37,21.88,31.38,13.35,9.01
3551306,SP,Sudeste,1,faixa intermediária,34,0.838,0.7586336,775.8083,0.918918918918919,1.5314789170422551,0.0,0.0,3.04,2.85,6.08,18.06,8.93,32.51,17.12,11.41
3551900,SP,Sudeste,1,faixa intermediária,161,0.42100000000000004,0.61654186,752.87085,0.8944444444444445,2.2068258760318495,0.0,1.72,4.79,7.35,9.86,18.24,20.02,23.02,12.49,2.51
3552106,SP,Sudeste,1,faixa intermediária,247,0.508,0.606061,753.46136,0.8853046594982079,2.392696953259666,0.11111111,1.71,5.73,5.49,13.61,18.09,16.44,22.74,12.34,3.85
